Name	cvss	description	detection_method	detection_result	http_info	identification	impact	insight	log_method	plugin	port	product_detection_result	protocol	references	severity	solution	source
SSL/TLS: HTTP Public Key Pinning (HPKP) Missing	[None, None, None, None, None, None, None]	['The remote web server is not enforcing HPKP.']	[]	"['The remote web server is not enforcing HPKP.', 'HTTP-Banner:', 'HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	"['HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	[]	[]	[]	['Details: SSL/TLS: HTTP Public Key Pinning (HPKP) Missing', 'OID:1.3.6.1.4.1.25623.1.0.108247', 'Version used: $Revision: 7391 $']	[]		[]		['https://www.owasp.org/index.php/OWASP_Secure_Headers_Project', 'https://www.owasp.org/index.php/OWASP_Secure_Headers_Project#hpkp', 'https://tools.ietf.org/html/rfc7469', 'https://securityheaders.io/']	LOG	['Enable HPKP or add / congure the required directives correctly following the guides linked in the references.']	OPENVAS
SSL/TLS: HTTP Strict Transport Security (HSTS) Missing	[None, None, None, None, None, None, None]	['The remote web server is not enforcing HSTS.']	[]	"['The remote web server is not enforcing HSTS.', 'HTTP-Banner:', 'HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	"['HTTP/1.1 303 See Other', 'Connection: close', 'Content-Length: ***replaced***', """"Content-Security-Policy: default-src 'self' 'unsafe-inline'; img-src 'self' blob:; frame-ancestors 'self'"""", 'X-Frame-Options: SAMEORIGIN', 'Cache-Control: no-cache', 'Expires: ***replaced***', 'Location: https://localhost/login/login.html', 'Date: ***replaced***']"	[]	[]	[]	['Details: SSL/TLS: HTTP Strict Transport Security (HSTS) Missing', 'OID:1.3.6.1.4.1.25623.1.0.105879', 'Version used: $Revision: 7391 $']	[]		[]		['https://www.owasp.org/index.php/OWASP_Secure_Headers_Project', 'https://www.owasp.org/index.php/HTTP_Strict_Transport_Security_Cheat_Sheet', 'https://www.owasp.org/index.php/OWASP_Secure_Headers_Project#hsts', 'https://tools.ietf.org/html/rfc6797', 'https://securityheaders.io/']	LOG	['Enable HSTS or add / congure the required directives correctly following the guides linked in the references.']	OPENVAS
SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing	[None, None, None, None, None, None, None]	['The remote service is missing support for SSL/TLS cipher suites supporting Perfect Forward Secrecy.']	[]	['The remote service does not support perfect forward secrecy cipher suites.']	[]	[]	[]	[]	['Details: SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing', 'OID:1.3.6.1.4.1.25623.1.0.105092', 'Version used: $Revision: 4736 $']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Report Medium Cipher Suites	[None, None, None, None, None, None, None]	['This routine reports all Medium SSL/TLS cipher suites accepted by a service.']	[]	"[""""'Medium' cipher suites accepted by this service via the TLSv1.1 protocol:"""", 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Medium' cipher suites accepted by this service via the TLSv1.2 protocol:"""", 'TLS_RSA_WITH_AES_128_CCM', 'TLS_RSA_WITH_AES_128_GCM_SHA256', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA256', 'TLS_RSA_WITH_AES_256_CCM', 'TLS_RSA_WITH_AES_256_GCM_SHA384', 'TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384']"	[]	[]	[]	['Any cipher suite considered to be secure for only the next 10 years is considered as medium']	['Details: SSL/TLS: Report Medium Cipher Suites', 'OID:1.3.6.1.4.1.25623.1.0.902816', 'Version used: $Revision: 4743 $']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Report Non Weak Cipher Suites	[None, None, None, None, None, None, None]	['This routine reports all Non Weak SSL/TLS cipher suites accepted by a service.']	[]	"[""""'Non Weak' cipher suites accepted by this service via the TLSv1.1 protocol:"""", 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Non Weak' cipher suites accepted by this service via the TLSv1.2 protocol:"""", 'TLS_RSA_WITH_AES_128_CCM', 'TLS_RSA_WITH_AES_128_GCM_SHA256', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA256', 'TLS_RSA_WITH_AES_256_CCM', 'TLS_RSA_WITH_AES_256_GCM_SHA384', 'TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384']"	[]	[]	[]	[]	['Details: SSL/TLS: Report Non Weak Cipher Suites', 'OID:1.3.6.1.4.1.25623.1.0.103441', 'Version used: $Revision: 4736 $']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Report Supported Cipher Suites	[None, None, None, None, None, None, None]	"[""""This routine reports all SSL/TLS cipher suites accepted by a service. As the NVT 'SSL/TLS: Check Supported Cipher Suites' (OID: 1.3.6.1.4.1.25623.1.0.900234) might run into a timeout the actual reporting of all accepted cipher suites takes place in this NVT instead. The script preference 'Report timeout' allows you to congure if such an timeout is reported.""""]"	[]	"[""""No 'Strong' cipher suites accepted by this service via the TLSv1.1 protocol."""", """"'Medium' cipher suites accepted by this service via the TLSv1.1 protocol:"""", 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"No 'Weak' cipher suites accepted by this service via the TLSv1.1 protocol."""", """"No 'Null' cipher suites accepted by this service via the TLSv1.1 protocol."""", """"No 'Anonymous' cipher suites accepted by this service via the TLSv1.1 protocol."""", """"No 'Strong' cipher suites accepted by this service via the TLSv1.2 protocol."""", """"'Medium' cipher suites accepted by this service via the TLSv1.2 protocol:"""", 'TLS_RSA_WITH_AES_128_CCM', 'TLS_RSA_WITH_AES_128_GCM_SHA256', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA256', 'TLS_RSA_WITH_AES_256_CCM', 'TLS_RSA_WITH_AES_256_GCM_SHA384', 'TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384', """"No 'Weak' cipher suites accepted by this service via the TLSv1.2 protocol."""", """"No 'Null' cipher suites accepted by this service via the TLSv1.2 protocol."""", """"No 'Anonymous' cipher suites accepted by this service via the TLSv1.2 protocol.""""]"	[]	[]	[]	[]	['Details: SSL/TLS: Report Supported Cipher Suites', 'OID:1.3.6.1.4.1.25623.1.0.802067', 'Version used: $Revision: 11108 $']	[]		[]		[]	LOG	[]	OPENVAS
wapiti (NASL wrapper)	[None, None, None, None, None, None, None]	"[""""This plugin uses wapiti to nd web security issues. Make sure to have wapiti 2.x as wapiti 1.x is not supported. See the preferences section for wapiti options. Note that the scanner is using limited set of wapiti options. Therefore, for more complete web assessment, you should use standalone wapiti tool for deeper/customized checks. Note: The plugin needs the 'wapiti' binary found within the PATH of the user running the scanner and needs to be executable for this user. The existence of this binary is checked and reported separately within 'Availability of scanner helper tools' (OID: 1.3.6.1.4.1.25623.1.0.810000).""""]"	[]	['The wapiti report filename is empty. That could mean that a wrong version of wapiti is used or tmp dir is not accessible. Make sure to have wapiti 2.x as wapiti 1.x is not supported. In short: Check the installation of wapiti and the scanner.']	[]	[]	[]	[]	['Details: wapiti (NASL wrapper)', 'OID:1.3.6.1.4.1.25623.1.0.80110', 'Version used: $Revision: 13985 $']	[]		[]		[]	LOG	[]	OPENVAS
Postx SMTP Server Detection	[None, None, None, None, None, None, None]	['The script checks the SMTP server banner for the presence of Postx.']	[]	['Detected Postfix', 'Version: unknown', 'Location: 25/tcp', 'CPE: cpe:/a:postfix:postfix', 'Concluded from version/product identification result:', '220 9c89ef55d1a6.localdomain ESMTP Postfix']	[]	[]	[]	[]	['Details: Postfix SMTP Server Detection', 'OID:1.3.6.1.4.1.25623.1.0.111086', 'Version used: $Revision: 13461 $']	[]	25	[]	tcp	[]	LOG	[]	OPENVAS
SMTP antivirus scanner DoS	[7.2, None, None, None, None, None, None]	['This script sends the 42.zip recursive archive to the mail server. If there is an antivirus lter, it may start eating huge amounts of CPU or memory.']	['Details: SMTP antivirus scanner DoS', 'OID:1.3.6.1.4.1.25623.1.0.11036', 'Version used: $Revision: 13470 $']	['For some reason, we could not send the 42.zip file to this MTA.']	[]	[]	[]	[]	[]	[]		[]		['BID:3027']	LOG	['Recongure your antivirus / upgrade it.']	OPENVAS
SMTP Missing Support For STARTTLS	[None, None, None, None, None, None, None]	"[""""The remote SMTP server does not support the 'STARTTLS' command.""""]"	[]	"[""""The remote SMTP server does not support the 'STARTTLS' command.""""]"	[]	[]	[]	[]	['Details: SMTP Missing Support For STARTTLS', 'OID:1.3.6.1.4.1.25623.1.0.105091', 'Version used: $Revision: 13153 $']	[]		[]		[]	LOG	[]	OPENVAS
SMTP Server type and version	[None, None, None, None, None, None, None]	"[""""This detects the SMTP Server's type and version by connecting to the server and processing the buer received.""""]"	[]	['Remote SMTP server banner:', '220 9c89ef55d1a6.localdomain ESMTP Postfix', 'The remote SMTP server is announcing the following available ESMTP commands (EHLO response) via an unencrypted connection: 8BITMIME, DSN, ENHANCEDSTATUSCODES, ETRN, PIPELINING, SIZE 10240000, VRFY']	[]	[]	[]	[]	['Details: SMTP Server type and version', 'OID:1.3.6.1.4.1.25623.1.0.10263', 'Version used: $Revision: 14004 $']	[]		[]		[]	LOG	[]	OPENVAS
OpenVAS / Greenbone Vulnerability Manager Detection	[None, None, None, None, None, None, None]	['The script sends a connection request to the server and attempts to determine if it is a OpenVAS Manager (openvasmd) or Greebone Vulnerability Manager (gmvd).']	[]	"['Detected OpenVAS Manager', 'Version: 7.0', 'Location: 9390/tcp', 'CPE: cpe:/a:openvas:openvas_manager:7.0', 'Concluded from version/product identification result:', """"OMP protocol version request '<GET_VERSION/>', response: <version>7.0</version>""""]"	[]	[]	[]	[]	['Details: OpenVAS / Greenbone Vulnerability Manager Detection', 'OID:1.3.6.1.4.1.25623.1.0.103825', 'Version used: $Revision: 13874 $']	[]	9390	[]	tcp	[]	LOG	[]	OPENVAS
Service Detection with '<xml/>' Request	[None, None, None, None, None, None, None]	"[""""This plugin performs service detection. This plugin is a complement of nd_service.nasl. It sends a '<xml/>' request to the remaining unknown services and tries to identify them.""""]"	[]	['A OpenVAS / Greenbone Vulnerability Manager supporting the OMP/GMP protocol seems to be running on this port.']	[]	[]	[]	[]	"[""""Details: Service Detection with '<xml/>' Request"""", 'OID:1.3.6.1.4.1.25623.1.0.108198', 'Version used: $Revision: 13874 $']"	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Collect and Report Certicate Details	[None, None, None, None, None, None, None]	['This script collects and reports the details of all SSL/TLS certicates. This data will be used by other tests to verify server certicates.']	[]	['The following certificate details of the remote service were collected.', 'Certificate details:', 'subject ...: C=DE,L=Osnabrueck,O=OpenVAS Users,CN=218ffb30ff7a', 'subject alternative names (SAN): None', 'issued by .: C=DE,L=Osnabrueck,O=OpenVAS Users,OU=Certificate Authority for 218f->fb30ff7a', 'serial ....: 5B7C65801F8422EBBDAD2299', 'valid from : 2018-08-21 19:18:24 UTC', 'valid until: 2020-08-20 19:18:24 UTC', 'fingerprint (SHA-1): 6B34D170BC2D0EAE4DB2D6122E2DA7E94F0ADF6F', 'fingerprint (SHA-256): A672ACF69BB0944271599E210BF04BF20736E3CCB5862FAF3EFAC9872->41BC4B9']	[]	[]	[]	[]	['Details: SSL/TLS: Collect and Report Certificate Details']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing	[None, None, None, None, None, None, None]	['The remote service is missing support for SSL/TLS cipher suites supporting Perfect Forward Secrecy.']	[]	['The remote service does not support perfect forward secrecy cipher suites.']	[]	[]	[]	[]	['Details: SSL/TLS: Perfect Forward Secrecy Cipher Suites Missing']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Report Medium Cipher Suites	[None, None, None, None, None, None, None]	['This routine reports all Medium SSL/TLS cipher suites accepted by a service.']	[]	"[""""'Medium' cipher suites accepted by this service via the TLSv1.0 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Medium' cipher suites accepted by this service via the TLSv1.1 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Medium' cipher suites accepted by this service via the TLSv1.2 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA256', 'TLS_RSA_WITH_AES_128_CCM', 'TLS_RSA_WITH_AES_128_GCM_SHA256', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA256', 'TLS_RSA_WITH_AES_256_CCM', 'TLS_RSA_WITH_AES_256_GCM_SHA384', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384']"	[]	[]	[]	['Any cipher suite considered to be secure for only the next 10 years is considered as medium']	['Details: SSL/TLS: Report Medium Cipher Suites']	[]		[]		[]	LOG	[]	OPENVAS
SSL/TLS: Report Non Weak Cipher Suites	[None, None, None, None, None, None, None]	['This routine reports all Non Weak SSL/TLS cipher suites accepted by a service.']	[]	"[""""'Non Weak' cipher suites accepted by this service via the TLSv1.0 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Non Weak' cipher suites accepted by this service via the TLSv1.1 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', """"'Non Weak' cipher suites accepted by this service via the TLSv1.2 protocol:"""", 'TLS_RSA_WITH_3DES_EDE_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA', 'TLS_RSA_WITH_AES_128_CBC_SHA256', 'TLS_RSA_WITH_AES_128_CCM', 'TLS_RSA_WITH_AES_128_GCM_SHA256', 'TLS_RSA_WITH_AES_256_CBC_SHA', 'TLS_RSA_WITH_AES_256_CBC_SHA256', 'TLS_RSA_WITH_AES_256_CCM', 'TLS_RSA_WITH_AES_256_GCM_SHA384', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA', 'TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256', 'TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384']"	[]	[]	[]	[]	['Details: SSL/TLS: Report Non Weak Cipher Suites']	[]		[]		[]	LOG	[]	OPENVAS
